device_id,current_protocol,payload_size,latency,jitter,throughput,packet_loss
gateway-009,HTTPS,1625.271,34.442,3.507,58.646,2.0372
gateway-009,HTTPS,197.058,44.255,12.01,72.74,1.4695
smart_meter-010,HTTPS,41.404,186.398,1.347,0.339,1.7375
smart_meter-010,HTTPS,30.311,120.296,2.653,0.6,4.3519
smart_meter-010,HTTPS,16.699,204.674,2.568,1.122,2.1446
smart_meter-010,HTTPS,31.054,152.642,1.755,1.105,1.5605
smart_meter-010,HTTPS,16.219,128.669,0.535,0.05,3.4466
smart_meter-010,HTTPS,23.014,206.281,1.537,0.463,5.5634
smart_meter-010,HTTPS,28.978,267.066,0.1,0.886,7.2489
smart_meter-010,HTTPS,31.044,194.742,0.886,0.729,2.6053
env_sensor-011,MQTT,98.472,16.835,1.188,1.374,1.9679
env_sensor-011,MQTT,70.006,40.155,2.31,9.285,0.0
env_sensor-011,MQTT,98.253,10.508,5.283,7.564,2.4652
env_sensor-011,MQTT,49.635,18.089,3.355,6.17,1.7733
env_sensor-011,MQTT,84.01,12.776,4.696,5.547,0.0
env_sensor-011,MQTT,43.666,18.906,1.902,2.068,0.5351
env_sensor-011,MQTT,70.544,30.56,2.456,3.31,1.6631
env_sensor-011,MQTT,78.924,10.656,2.426,7.047,0.4046
env_sensor-011,MQTT,89.167,1.0,2.423,9.541,0.0
env_sensor-011,MQTT,93.328,18.247,3.161,5.59,0.0
env_sensor-011,MQTT,96.56,31.721,4.732,9.254,0.5863
actuator-012,MQTT,116.252,30.434,6.424,2.411,0.7951
actuator-012,MQTT,122.558,1.0,13.682,9.269,1.4063
actuator-012,MQTT,71.589,27.556,12.595,14.493,1.1101
actuator-012,MQTT,92.722,1.0,4.931,9.844,1.5135
actuator-012,MQTT,79.63,12.927,2.61,3.712,1.7757
actuator-012,MQTT,105.057,22.123,5.575,8.315,0.9258
actuator-012,MQTT,40.355,14.491,2.734,4.172,2.2709
actuator-012,MQTT,145.786,15.949,4.422,5.087,0.9254
camera-013,CoAP,961.152,85.443,9.04,146.067,0.9862
camera-013,CoAP,1702.799,85.836,2.842,111.758,0.6814
camera-013,CoAP,2007.537,53.688,8.399,0.05,0.0304
camera-013,CoAP,769.827,48.927,5.316,151.715,0.6698
camera-013,CoAP,1052.642,119.268,0.1,99.227,0.9698
camera-013,CoAP,2156.264,78.854,4.49,96.993,0.0
camera-013,CoAP,3001.095,73.661,5.512,175.006,0.5963
camera-013,CoAP,1294.868,50.435,3.624,103.836,0.4473
camera-013,CoAP,3492.945,71.792,2.278,50.3,0.0
gateway-014,CoAP,1068.535,42.305,9.696,68.857,2.1705
gateway-014,CoAP,709.165,35.53,12.377,92.479,0.6374
gateway-014,CoAP,1448.81,35.656,3.496,46.506,1.3466
gateway-014,CoAP,695.507,56.261,5.53,142.05,0.0
gateway-014,CoAP,1541.741,66.95,13.03,165.513,0.7944
gateway-014,CoAP,384.078,82.904,13.296,21.576,0.2099
gateway-014,CoAP,1243.149,65.164,11.615,13.568,0.9054
gateway-014,CoAP,777.113,60.927,12.086,47.07,0.5576
smart_meter-015,LoRaWAN,38.356,251.859,4.291,0.324,0.0
smart_meter-015,LoRaWAN,41.066,170.907,4.601,0.05,4.6633
smart_meter-015,LoRaWAN,37.513,129.577,1.9,0.452,3.408
smart_meter-015,LoRaWAN,29.532,187.793,3.84,0.299,0.0
smart_meter-015,LoRaWAN,30.937,215.645,0.1,0.472,1.7069
smart_meter-015,LoRaWAN,27.772,196.72,0.101,0.738,6.7236
smart_meter-015,LoRaWAN,39.382,204.914,2.502,0.496,0.413
smart_meter-015,LoRaWAN,34.935,129.411,2.535,0.293,1.1491
smart_meter-015,LoRaWAN,31.958,134.43,1.552,0.05,3.8186
smart_meter-015,LoRaWAN,23.092,193.276,0.417,0.764,1.7608
smart_meter-015,LoRaWAN,18.872,202.023,3.613,0.617,2.9911
env_sensor-016,CoAP,66.551,23.267,2.026,0.702,0.7612
env_sensor-016,CoAP,82.065,15.057,4.644,0.05,0.0
env_sensor-016,CoAP,71.903,38.066,4.017,9.357,0.8356
env_sensor-016,CoAP,82.457,27.463,0.1,1.465,1.2789
actuator-017,MQTT,74.491,26.173,3.021,8.677,0.5234
actuator-017,MQTT,125.298,19.315,9.304,5.437,1.8917
actuator-017,MQTT,73.428,1.0,10.07,11.234,1.4662
actuator-017,MQTT,83.531,22.168,6.207,7.287,0.4074
actuator-017,MQTT,155.908,16.267,8.021,2.725,0.0
actuator-017,MQTT,163.221,10.755,5.22,3.058,0.621
actuator-017,MQTT,98.341,18.635,7.955,8.061,0.5892
camera-018,LoRaWAN,1379.542,83.916,8.536,93.468,1.0291
camera-018,LoRaWAN,334.982,54.299,2.47,181.229,0.0886
camera-018,LoRaWAN,2241.434,71.876,4.702,134.431,1.0389
camera-018,LoRaWAN,2299.109,49.589,7.15,126.424,0.3679
camera-018,LoRaWAN,1407.088,75.027,8.418,47.959,0.9914
camera-018,LoRaWAN,1919.49,60.439,1.836,89.549,0.687
camera-018,LoRaWAN,1148.83,65.919,3.342,0.05,1.0547
gateway-019,MQTT,1098.19,23.353,3.178,47.945,1.535
gateway-019,MQTT,777.051,1.0,3.599,134.931,0.0
gateway-019,MQTT,1793.011,55.921,5.696,33.97,0.0299
gateway-019,MQTT,1318.932,24.6,9.953,68.579,2.5122
smart_meter-020,LoRaWAN,35.643,44.805,2.45,0.458,3.2256
smart_meter-020,LoRaWAN,37.496,225.151,0.496,0.268,3.1567
smart_meter-020,LoRaWAN,24.961,180.029,2.692,0.53,0.0
smart_meter-020,LoRaWAN,9.462,179.217,1.452,0.05,0.0
smart_meter-020,LoRaWAN,10.599,107.801,1.172,0.468,2.6355
env_sensor-021,LoRaWAN,67.63,5.387,7.754,6.368,0.757
env_sensor-021,LoRaWAN,65.853,41.761,0.12,4.745,0.9103
env_sensor-021,LoRaWAN,96.898,43.374,3.814,2.437,0.9475
env_sensor-021,LoRaWAN,22.115,15.486,2.487,5.376,2.5741
env_sensor-021,LoRaWAN,64.57,40.622,0.1,4.105,0.6622
env_sensor-021,LoRaWAN,101.274,37.331,5.283,1.939,1.7193
env_sensor-021,LoRaWAN,78.818,54.292,4.553,3.774,1.1662
actuator-022,HTTPS,99.797,15.543,9.742,6.563,1.7976
actuator-022,HTTPS,99.833,24.042,10.215,7.818,2.6058
actuator-022,HTTPS,175.793,15.475,7.703,5.85,0.8396
actuator-022,HTTPS,113.146,19.489,10.96,3.312,0.7305
actuator-022,HTTPS,100.868,7.022,4.437,11.298,1.7674
actuator-022,HTTPS,91.779,26.797,7.163,11.353,0.5799
camera-023,MQTT,2001.372,85.777,1.496,162.582,0.2886
camera-023,MQTT,2702.808,60.328,0.253,182.474,0.8385
camera-023,MQTT,723.96,73.637,3.258,168.129,0.7889
camera-023,MQTT,2099.601,40.868,8.506,82.72,1.0931
camera-023,MQTT,2289.764,39.153,3.788,88.102,0.9459
gateway-024,HTTPS,1646.186,40.374,8.84,52.638,0.7159
gateway-024,HTTPS,1678.924,70.029,9.037,22.9,0.5836
gateway-024,HTTPS,418.554,58.285,11.68,3.838,0.8247
gateway-024,HTTPS,1094.847,81.525,7.126,114.035,0.3913
gateway-024,HTTPS,905.993,11.169,11.722,13.53,0.1239
gateway-024,HTTPS,8.0,46.165,4.719,100.409,0.3976
gateway-024,HTTPS,823.352,35.62,8.037,0.05,0.1284
gateway-024,HTTPS,1443.293,55.47,3.695,99.37,1.3692
smart_meter-025,CoAP,23.905,155.449,2.877,0.635,6.8196
smart_meter-025,CoAP,14.762,108.0,3.07,0.243,2.4795
smart_meter-025,CoAP,25.691,96.565,2.2,0.05,1.7858
smart_meter-025,CoAP,30.926,152.227,0.975,0.485,2.4808
smart_meter-025,CoAP,29.518,198.036,0.1,1.544,3.586
smart_meter-025,CoAP,28.374,148.736,0.1,0.569,3.2259
env_sensor-026,CoAP,84.064,1.0,1.314,7.1,1.8728
env_sensor-026,CoAP,60.053,35.606,1.289,6.014,1.9574
env_sensor-026,CoAP,22.43,26.167,5.878,2.19,1.4956
env_sensor-026,CoAP,74.847,30.499,1.249,0.05,0.3252
env_sensor-026,CoAP,57.956,28.541,2.999,0.965,1.5776
env_sensor-026,CoAP,37.071,38.522,0.1,2.586,1.8552
env_sensor-026,CoAP,106.668,21.232,3.512,4.276,1.0837
env_sensor-026,CoAP,94.148,9.136,4.233,1.239,1.9216
env_sensor-026,CoAP,65.191,28.715,1.933,7.139,1.068
actuator-027,MQTT,88.138,8.556,9.243,5.29,2.1611
actuator-027,MQTT,110.725,9.476,6.245,14.61,0.2075
actuator-027,MQTT,111.703,17.697,0.858,2.343,1.3123
actuator-027,MQTT,145.602,17.06,6.55,5.548,1.461
camera-028,HTTPS,2356.951,39.035,0.549,138.296,0.4895
camera-028,HTTPS,1639.141,46.552,4.251,78.09,0.9282
camera-028,HTTPS,2113.184,57.914,5.504,0.05,0.0
camera-028,HTTPS,2447.473,104.188,3.499,157.881,0.6835
camera-028,HTTPS,1202.39,1.0,3.232,39.351,0.4081
camera-028,HTTPS,2240.414,32.665,2.394,107.332,0.1316
gateway-029,HTTPS,587.573,54.557,6.357,32.684,0.2692
gateway-029,HTTPS,990.088,25.816,6.113,77.734,1.157
gateway-029,HTTPS,1026.418,76.712,8.853,53.319,1.7122
gateway-029,HTTPS,1379.562,56.409,3.038,45.106,0.2296
gateway-029,HTTPS,614.382,34.556,13.673,74.28,0.1969
gateway-029,HTTPS,182.386,13.012,5.296,103.863,1.5113
gateway-029,HTTPS,1116.254,13.509,5.359,83.992,0.0
gateway-029,HTTPS,779.923,39.301,18.724,79.979,0.8915
gateway-029,HTTPS,869.854,43.159,2.985,60.376,2.5395
gateway-029,HTTPS,455.636,44.521,10.704,111.698,0.0
gateway-029,HTTPS,838.351,40.185,0.648,54.371,1.7679
smart_meter-030,LoRaWAN,38.176,164.889,2.891,0.05,1.9217
smart_meter-030,LoRaWAN,44.107,288.964,1.226,0.05,5.2676
smart_meter-030,LoRaWAN,38.594,218.338,2.451,0.441,2.3557
smart_meter-030,LoRaWAN,34.254,132.605,2.487,0.05,2.7081
env_sensor-031,MQTT,120.9,35.698,1.752,3.262,1.285
env_sensor-031,MQTT,57.906,5.212,2.83,0.05,0.8275
env_sensor-031,MQTT,62.217,12.858,4.332,4.001,0.9265
env_sensor-031,MQTT,52.735,34.649,3.052,7.707,0.2995
env_sensor-031,MQTT,75.859,26.462,0.1,0.05,1.5668
env_sensor-031,MQTT,83.495,27.897,0.1,3.936,0.0433
env_sensor-031,MQTT,69.92,29.75,6.718,7.873,0.0
env_sensor-031,MQTT,41.177,29.589,3.759,7.512,0.9246
actuator-032,MQTT,90.171,35.542,6.265,5.718,1.4916
actuator-032,MQTT,108.23,3.619,5.035,9.748,1.5011
actuator-032,MQTT,103.891,16.666,6.328,0.662,0.2607
actuator-032,MQTT,66.373,14.158,3.181,7.752,1.2517
actuator-032,MQTT,70.436,21.197,2.745,7.114,0.7251
actuator-032,MQTT,58.632,24.305,4.971,6.225,0.7754
actuator-032,MQTT,86.763,17.499,9.381,4.318,0.4133
actuator-032,MQTT,126.436,20.842,4.567,12.417,0.2522
actuator-032,MQTT,116.415,4.934,5.663,10.98,0.5593
camera-033,LoRaWAN,1103.091,86.862,1.863,96.78,0.6467
camera-033,LoRaWAN,597.772,48.603,4.986,214.262,0.0
camera-033,LoRaWAN,936.553,102.146,0.1,48.383,0.7512
camera-033,LoRaWAN,1529.517,53.935,4.944,164.479,0.628
camera-033,LoRaWAN,574.554,109.82,3.153,100.508,0.7423
camera-033,LoRaWAN,1395.21,14.418,2.628,39.36,0.5791
camera-033,LoRaWAN,1726.92,33.989,6.671,214.737,0.0
camera-033,LoRaWAN,1123.89,52.875,7.424,147.88,1.1191
gateway-034,HTTPS,1170.55,59.712,6.361,37.023,1.4469
gateway-034,HTTPS,1405.839,55.252,8.236,1.228,0.8092
gateway-034,HTTPS,614.495,55.802,2.065,144.805,2.1573
gateway-034,HTTPS,888.788,68.137,9.421,17.682,2.35
gateway-034,HTTPS,1089.31,42.35,4.249,40.05,1.4591
gateway-034,HTTPS,1013.49,38.187,7.031,68.816,0.3178
gateway-034,HTTPS,1068.198,6.826,6.693,64.934,2.1765
gateway-034,HTTPS,1191.128,18.756,4.433,109.142,2.0054
smart_meter-035,LoRaWAN,34.831,61.179,6.42,0.605,3.9357
smart_meter-035,LoRaWAN,21.233,183.267,3.941,0.509,3.0763
smart_meter-035,LoRaWAN,29.358,170.011,0.862,0.276,2.7861
smart_meter-035,LoRaWAN,18.901,229.796,2.813,0.707,3.6299
smart_meter-035,LoRaWAN,32.233,165.922,0.716,0.369,5.3698
smart_meter-035,LoRaWAN,28.525,155.389,2.857,1.127,3.1808
smart_meter-035,LoRaWAN,17.917,70.591,0.864,0.473,6.0345
smart_meter-035,LoRaWAN,36.794,62.788,3.68,0.24,2.4086
smart_meter-035,LoRaWAN,27.573,78.66,0.523,0.29,1.5453
smart_meter-035,LoRaWAN,30.356,181.668,1.882,0.05,2.1903
env_sensor-036,MQTT,105.642,30.823,2.0,3.447,1.5385
env_sensor-036,MQTT,72.163,1.0,1.656,4.934,0.9847
env_sensor-036,MQTT,51.346,3.447,5.474,3.471,1.3411
env_sensor-036,MQTT,91.952,18.511,2.337,4.861,0.8348
actuator-037,MQTT,172.45,2.505,3.742,11.763,0.0
actuator-037,MQTT,42.085,15.837,0.1,4.668,1.6119
actuator-037,MQTT,103.548,21.26,7.112,5.797,0.4559
actuator-037,MQTT,147.307,31.402,10.247,12.22,1.1249
actuator-037,MQTT,88.318,12.938,4.862,7.478,1.8255
actuator-037,MQTT,112.439,9.207,7.134,5.96,1.6682
actuator-037,MQTT,144.264,12.397,16.102,5.75,0.0
actuator-037,MQTT,145.783,12.399,5.506,5.274,0.0
camera-038,HTTPS,894.2,59.218,4.969,62.698,0.2433
camera-038,HTTPS,2779.107,106.761,3.637,84.11,0.4866
camera-038,HTTPS,907.558,75.387,10.959,188.97,0.4573
camera-038,HTTPS,1004.197,70.298,7.531,174.271,0.0019
camera-038,HTTPS,2734.389,110.958,7.27,23.416,0.491
camera-038,HTTPS,1355.891,67.354,2.768,166.043,0.8006
camera-038,HTTPS,2139.836,48.538,4.623,177.647,0.4425
camera-038,HTTPS,2391.218,65.443,5.387,161.859,0.998
camera-038,HTTPS,2014.171,61.58,0.1,35.033,0.0
camera-038,HTTPS,1911.663,67.189,5.421,160.529,0.9479
camera-038,HTTPS,314.767,42.593,4.822,212.494,0.0
gateway-039,CoAP,667.662,48.954,5.494,0.05,0.5934
gateway-039,CoAP,943.465,45.673,9.379,83.574,2.2994
gateway-039,CoAP,361.261,43.188,14.71,101.861,1.3344
gateway-039,CoAP,1121.489,53.788,0.1,46.718,1.1487
gateway-039,CoAP,1477.68,59.303,7.9,72.101,0.0286
gateway-039,CoAP,947.97,18.762,5.652,50.537,1.0598
smart_meter-040,CoAP,32.562,197.267,2.785,0.05,0.0
smart_meter-040,CoAP,45.63,247.016,2.036,0.295,0.0
smart_meter-040,CoAP,25.065,259.19,2.635,0.584,3.9879
smart_meter-040,CoAP,28.724,284.573,0.1,0.175,0.002
smart_meter-040,CoAP,17.95,140.641,3.309,0.303,3.922
smart_meter-040,CoAP,31.42,258.232,0.552,0.745,2.671
smart_meter-040,CoAP,28.909,271.124,3.859,0.487,2.2321
env_sensor-041,MQTT,75.679,39.278,5.434,0.345,1.0441
env_sensor-041,MQTT,55.311,34.444,3.78,4.14,0.9802
env_sensor-041,MQTT,105.106,41.803,2.138,0.05,0.0
env_sensor-041,MQTT,46.265,1.0,1.136,8.564,0.9776
env_sensor-041,MQTT,75.691,31.511,5.613,7.175,0.0
env_sensor-041,MQTT,103.255,20.268,4.466,9.294,2.5895
env_sensor-041,MQTT,82.268,32.258,4.339,10.59,1.3511
env_sensor-041,MQTT,85.152,1.0,0.908,3.368,0.5318
env_sensor-041,MQTT,18.522,37.554,0.1,5.595,0.0
actuator-042,MQTT,77.629,13.169,9.869,7.56,1.3034
actuator-042,MQTT,160.021,22.982,7.022,16.276,0.9907
actuator-042,MQTT,137.978,10.466,8.941,8.247,0.9634
actuator-042,MQTT,82.47,35.279,1.131,4.5,0.0
actuator-042,MQTT,160.917,5.851,5.51,10.112,1.4495
actuator-042,MQTT,93.92,8.2,4.291,5.147,1.1468
actuator-042,MQTT,107.935,15.16,7.989,9.013,0.838
actuator-042,MQTT,115.723,28.802,3.594,17.202,0.7255
camera-043,HTTPS,1289.632,68.957,4.233,63.244,0.1779
camera-043,HTTPS,1270.843,80.239,3.199,134.717,0.8094
camera-043,HTTPS,1637.867,16.103,5.701,61.367,0.3573
camera-043,HTTPS,2740.213,74.348,3.944,139.398,0.0
gateway-044,LoRaWAN,1086.941,28.346,12.563,94.545,0.0
gateway-044,LoRaWAN,692.845,46.026,0.1,0.05,1.16
gateway-044,LoRaWAN,1375.834,83.134,10.161,88.347,2.0763
gateway-044,LoRaWAN,714.173,53.033,11.946,20.871,1.2975
gateway-044,LoRaWAN,684.11,30.633,15.051,21.666,1.4042
gateway-044,LoRaWAN,1899.569,50.062,9.983,104.726,1.212
gateway-044,LoRaWAN,230.542,49.636,11.324,33.523,1.6719
gateway-044,LoRaWAN,870.721,76.168,8.279,46.417,0.0822
smart_meter-045,LoRaWAN,29.563,211.018,1.59,0.365,5.2
smart_meter-045,LoRaWAN,45.98,268.039,4.054,0.443,3.1779
smart_meter-045,LoRaWAN,22.639,210.257,1.099,0.403,0.0
smart_meter-045,LoRaWAN,38.917,276.105,2.783,0.05,8.4469
smart_meter-045,LoRaWAN,43.055,161.179,1.251,0.268,4.7416
smart_meter-045,LoRaWAN,39.715,207.341,0.961,0.05,3.7188
smart_meter-045,LoRaWAN,40.945,133.056,3.212,0.333,3.2058
smart_meter-045,LoRaWAN,35.387,236.858,0.568,1.021,2.0516
smart_meter-045,LoRaWAN,20.57,174.911,4.437,0.492,5.5974
env_sensor-046,HTTPS,55.624,53.811,4.502,0.05,0.6927
env_sensor-046,HTTPS,93.251,27.772,4.245,6.138,0.0
env_sensor-046,HTTPS,40.916,28.822,3.716,6.621,1.6036
env_sensor-046,HTTPS,91.877,37.566,4.045,4.896,0.0
env_sensor-046,HTTPS,80.226,30.331,2.755,5.17,0.8695
env_sensor-046,HTTPS,80.089,26.814,5.32,3.51,0.5745
actuator-047,HTTPS,113.954,7.013,5.896,9.973,0.8407
actuator-047,HTTPS,152.794,12.266,8.184,0.05,0.898
actuator-047,HTTPS,179.982,20.141,8.994,12.744,0.9596
actuator-047,HTTPS,86.581,21.219,4.28,6.481,1.2508
actuator-047,HTTPS,78.886,37.693,6.102,7.611,1.5235
actuator-047,HTTPS,131.696,15.773,4.494,3.335,0.7685
actuator-047,HTTPS,125.301,13.058,7.762,7.156,0.7015
actuator-047,HTTPS,155.669,17.515,15.088,9.968,1.5279
actuator-047,HTTPS,125.002,16.061,8.208,11.555,0.2751
actuator-047,HTTPS,59.347,31.451,8.66,9.438,0.0
camera-048,LoRaWAN,866.485,63.133,0.1,255.645,0.7399
camera-048,LoRaWAN,1987.883,65.179,9.03,124.555,1.176
camera-048,LoRaWAN,1860.167,73.157,3.119,55.42,1.1722
camera-048,LoRaWAN,1320.116,84.659,5.648,256.704,1.4325
camera-048,LoRaWAN,2246.281,37.9,8.574,76.761,1.6369
camera-048,LoRaWAN,1263.457,70.92,3.28,124.855,0.0
camera-048,LoRaWAN,538.984,3.743,2.795,204.075,1.1073
camera-048,LoRaWAN,2405.46,89.946,1.391,93.348,0.2386
gateway-049,MQTT,459.717,51.389,6.924,86.711,0.0849
gateway-049,MQTT,1057.362,115.154,17.97,0.05,0.7184
gateway-049,MQTT,790.944,20.501,4.181,72.876,1.2813
gateway-049,MQTT,1004.874,51.811,6.437,0.05,0.0
smart_meter-050,LoRaWAN,26.977,180.839,1.443,0.688,3.6959
smart_meter-050,LoRaWAN,19.638,170.893,2.121,0.506,0.0
smart_meter-050,LoRaWAN,44.919,185.154,0.1,0.236,2.0229
smart_meter-050,LoRaWAN,24.11,86.244,2.398,0.293,4.4752
smart_meter-050,LoRaWAN,28.945,164.843,0.195,0.261,0.7816
smart_meter-050,LoRaWAN,29.066,168.425,2.354,0.403,3.2861
smart_meter-050,LoRaWAN,37.969,81.272,3.725,0.331,5.6957
smart_meter-050,LoRaWAN,19.742,165.899,0.38,0.605,2.2075
smart_meter-050,LoRaWAN,19.219,219.95,2.835,0.185,3.0392
smart_meter-050,LoRaWAN,45.441,205.319,3.297,0.725,0.2138
smart_meter-050,LoRaWAN,25.082,169.137,2.022,0.255,0.0
env_sensor-051,HTTPS,77.334,55.235,2.236,4.774,0.2371
env_sensor-051,HTTPS,41.898,20.547,0.885,2.115,1.0602
env_sensor-051,HTTPS,53.671,24.962,2.633,6.51,0.9836
env_sensor-051,HTTPS,32.44,19.906,3.542,11.427,1.0363
env_sensor-051,HTTPS,86.308,24.917,4.178,4.123,0.7296
env_sensor-051,HTTPS,73.698,1.489,0.722,6.539,0.3949
env_sensor-051,HTTPS,88.824,23.673,1.45,5.948,0.5281
env_sensor-051,HTTPS,79.486,42.518,3.611,7.257,1.6019
env_sensor-051,HTTPS,67.223,22.133,4.406,8.976,0.1885
env_sensor-051,HTTPS,64.855,12.995,0.653,3.283,2.3109
env_sensor-051,HTTPS,59.822,31.809,0.1,1.771,1.8474
actuator-052,CoAP,96.092,19.161,4.159,8.691,0.6637
actuator-052,CoAP,171.666,19.017,7.259,13.178,0.3611
actuator-052,CoAP,85.753,18.322,7.829,11.326,0.4554
actuator-052,CoAP,161.735,19.033,3.609,4.312,1.1855
actuator-052,CoAP,105.946,1.0,8.395,0.05,0.005
actuator-052,CoAP,116.427,10.421,7.739,6.462,1.7089
actuator-052,CoAP,94.003,15.841,11.874,17.335,0.8766
actuator-052,CoAP,111.797,4.379,4.433,0.627,1.1574
actuator-052,CoAP,149.769,8.622,6.64,9.444,0.2966
actuator-052,CoAP,132.966,31.324,5.179,11.33,0.3118
actuator-052,CoAP,94.166,15.816,2.276,11.589,1.0151
camera-053,CoAP,2089.978,65.679,2.193,89.001,0.7055
camera-053,CoAP,2776.691,65.99,3.056,179.098,0.6028
camera-053,CoAP,2610.647,121.817,4.563,89.774,0.7573
camera-053,CoAP,421.325,54.532,6.836,143.976,0.7567
camera-053,CoAP,2790.554,40.13,0.1,225.64,0.3732
camera-053,CoAP,1251.613,1.0,0.698,155.537,1.0843
camera-053,CoAP,725.947,36.056,1.225,55.103,1.2571
gateway-054,LoRaWAN,1567.638,36.266,9.307,83.948,0.0
gateway-054,LoRaWAN,876.568,13.093,4.272,73.717,1.168
gateway-054,LoRaWAN,492.644,57.283,10.723,37.588,1.6844
gateway-054,LoRaWAN,826.331,27.071,0.378,0.05,1.5037
gateway-054,LoRaWAN,984.942,16.372,15.453,23.582,2.3123
gateway-054,LoRaWAN,989.685,35.643,12.739,158.799,0.632
gateway-054,LoRaWAN,1027.229,38.458,5.966,0.05,3.1951
